,cook,diet_current_coded,eating_out,sports,exercise,fav_cuisine_coded,on_off_campus,pay_meal_out,fav_food,fruit_day,income,Cluster
0,2.0,1,3,1.0,1.0,3,1.0,2,1.0,5,5.0,2
1,3.0,2,2,1.0,1.0,1,1.0,4,1.0,4,4.0,1
2,1.0,3,2,1.0,2.0,1,4.0,1,3.0,5,6.0,1
3,2.0,2,2,2.0,3.0,3,1.0,2,1.0,4,6.0,2
4,1.0,2,2,1.0,1.0,1,1.0,4,3.0,4,6.0,1
5,3.0,2,1,2.0,2.0,6,1.0,5,3.0,2,1.0,0
6,2.0,3,2,1.0,1.0,4,2.0,2,1.0,4,4.0,2
7,3.0,1,2,2.0,2.0,5,1.0,5,1.0,5,5.0,2
9,3.0,1,3,1.0,1.0,1,1.0,3,1.0,5,4.0,1
10,1.0,1,2,1.0,1.0,4,3.0,2,1.0,5,3.0,0
11,3.0,1,1,1.0,1.0,1,1.0,3,1.0,5,5.0,1
12,5.0,1,1,1.0,3.0,4,1.0,2,3.0,4,5.0,2
13,2.0,2,4,1.0,2.0,1,2.0,3,1.0,5,5.0,1
14,3.0,1,2,1.0,2.0,4,2.0,3,3.0,5,5.0,2
15,4.0,2,4,1.0,1.0,1,1.0,3,2.0,3,4.0,1
16,3.0,1,1,2.0,2.0,7,1.0,2,1.0,5,1.0,0
17,3.0,3,2,1.0,1.0,5,1.0,6,3.0,3,6.0,2
18,3.0,1,3,2.0,3.0,5,1.0,2,3.0,5,5.0,2
20,5.0,2,4,1.0,1.0,2,1.0,2,3.0,2,6.0,1
21,3.0,2,1,1.0,1.0,8,1.0,5,2.0,3,6.0,2
22,5.0,1,1,1.0,1.0,1,1.0,5,1.0,4,6.0,1
23,4.0,1,2,1.0,3.0,4,1.0,3,1.0,3,4.0,2
25,3.0,1,2,1.0,1.0,0,1.0,3,3.0,4,6.0,1
26,3.0,1,2,1.0,1.0,1,1.0,4,1.0,3,5.0,1
27,4.0,1,2,1.0,1.0,2,1.0,6,1.0,5,6.0,1
28,2.0,2,2,2.0,2.0,1,1.0,3,1.0,3,5.0,1
29,3.0,2,5,2.0,2.0,8,1.0,4,1.0,5,5.0,0
30,3.0,1,3,1.0,2.0,2,3.0,3,2.0,3,5.0,1
31,2.0,2,2,2.0,2.0,1,4.0,3,1.0,5,4.0,1
33,4.0,2,2,2.0,3.0,1,1.0,3,1.0,3,3.0,1
34,4.0,2,3,1.0,1.0,1,1.0,4,3.0,5,6.0,1
35,1.0,3,2,1.0,1.0,5,2.0,3,1.0,5,4.0,2
36,3.0,2,4,1.0,1.0,1,1.0,3,3.0,5,6.0,1
37,2.0,2,2,1.0,3.0,1,1.0,4,1.0,3,6.0,1
38,3.0,1,2,1.0,2.0,1,1.0,3,1.0,4,5.0,1
39,5.0,2,5,1.0,1.0,2,2.0,3,1.0,5,6.0,1
40,3.0,3,2,1.0,1.0,1,1.0,3,1.0,3,6.0,1
41,2.0,4,4,2.0,1.0,1,1.0,3,1.0,5,3.0,1
44,1.0,1,2,1.0,1.0,4,2.0,6,1.0,5,5.0,2
46,3.0,2,2,1.0,2.0,1,1.0,3,1.0,4,4.0,1
47,4.0,2,2,1.0,1.0,1,1.0,3,3.0,5,6.0,1
48,4.0,2,2,1.0,1.0,4,1.0,3,1.0,5,5.0,2
49,3.0,2,2,2.0,2.0,1,1.0,6,1.0,3,3.0,1
50,5.0,1,2,2.0,1.0,5,3.0,3,2.0,4,1.0,0
51,3.0,4,3,1.0,1.0,0,1.0,3,1.0,5,6.0,1
52,1.0,3,5,1.0,1.0,2,1.0,3,1.0,5,5.0,1
54,1.0,1,3,1.0,1.0,1,1.0,6,1.0,5,6.0,1
55,3.0,2,5,1.0,1.0,1,1.0,2,1.0,4,3.0,1
56,3.0,1,4,1.0,1.0,4,2.0,4,1.0,5,6.0,2
57,2.0,1,3,1.0,1.0,5,1.0,3,3.0,4,5.0,2
58,1.0,3,2,1.0,2.0,2,2.0,4,1.0,5,5.0,1
60,2.0,1,5,1.0,1.0,2,1.0,3,1.0,5,6.0,1
61,2.0,1,2,2.0,2.0,2,3.0,2,2.0,3,4.0,1
62,3.0,1,5,1.0,1.0,1,1.0,3,1.0,4,6.0,1
63,3.0,1,4,1.0,1.0,1,1.0,3,1.0,5,5.0,1
64,1.0,1,3,1.0,1.0,4,1.0,2,3.0,5,2.0,0
65,2.0,2,3,2.0,2.0,1,1.0,5,3.0,3,6.0,1
67,4.0,2,3,1.0,2.0,1,1.0,4,1.0,5,5.0,1
68,3.0,1,1,1.0,1.0,1,1.0,4,1.0,5,6.0,1
69,2.0,2,2,2.0,2.0,1,2.0,3,1.0,3,6.0,1
70,3.0,1,1,1.0,2.0,1,1.0,3,1.0,5,3.0,1
71,2.0,1,1,1.0,1.0,1,1.0,6,1.0,5,5.0,1
72,3.0,2,1,2.0,2.0,0,1.0,2,2.0,5,5.0,1
73,1.0,2,4,1.0,1.0,2,3.0,3,1.0,3,6.0,1
74,2.0,4,1,2.0,2.0,0,2.0,5,2.0,4,3.0,1
75,3.0,1,2,2.0,1.0,1,1.0,4,1.0,5,5.0,1
76,2.0,2,2,1.0,2.0,5,2.0,3,3.0,4,3.0,0
77,2.0,2,2,1.0,2.0,5,1.0,3,2.0,3,3.0,0
78,2.0,3,2,1.0,1.0,4,1.0,3,1.0,5,5.0,2
79,5.0,2,1,1.0,1.0,4,1.0,3,1.0,5,6.0,2
80,3.0,2,3,2.0,2.0,1,1.0,3,3.0,3,4.0,1
81,3.0,2,3,1.0,1.0,1,1.0,5,1.0,4,4.0,1
84,1.0,1,2,1.0,1.0,2,1.0,3,3.0,5,5.0,1
85,3.0,3,3,2.0,3.0,4,1.0,3,3.0,5,6.0,2
86,2.0,1,1,1.0,2.0,4,1.0,3,3.0,5,6.0,2
87,4.0,2,2,1.0,1.0,5,1.0,3,2.0,4,6.0,2
89,3.0,2,2,2.0,1.0,4,1.0,3,1.0,5,3.0,0
90,4.0,1,2,1.0,1.0,1,1.0,4,1.0,5,6.0,1
91,2.0,2,3,2.0,2.0,5,2.0,3,3.0,2,6.0,2
92,2.0,2,5,1.0,3.0,5,1.0,3,1.0,1,3.0,0
93,4.0,2,2,2.0,3.0,1,1.0,4,1.0,4,4.0,1
94,2.0,1,2,1.0,1.0,1,1.0,3,1.0,5,6.0,1
95,3.0,2,2,1.0,1.0,5,1.0,3,3.0,4,5.0,2
96,2.0,2,2,2.0,2.0,1,1.0,3,3.0,3,6.0,1
97,3.0,1,2,1.0,1.0,1,1.0,5,1.0,5,5.0,1
100,3.0,1,2,1.0,2.0,1,1.0,2,1.0,5,2.0,1
101,3.0,2,2,2.0,3.0,4,1.0,2,3.0,5,5.0,2
103,2.0,1,2,2.0,2.0,8,1.0,3,1.0,5,4.0,0
105,3.0,2,3,1.0,2.0,1,2.0,5,3.0,3,4.0,1
106,2.0,1,5,2.0,2.0,4,1.0,3,1.0,5,1.0,0
107,2.0,1,2,2.0,1.0,1,1.0,3,3.0,4,4.0,1
108,5.0,1,2,1.0,1.0,1,1.0,3,2.0,5,6.0,1
109,2.0,2,3,2.0,3.0,1,1.0,3,2.0,4,6.0,1
110,3.0,2,4,1.0,2.0,1,2.0,4,1.0,3,3.0,1
111,2.0,1,2,2.0,2.0,0,3.0,6,1.0,3,5.0,1
112,1.0,1,4,2.0,1.0,1,1.0,3,3.0,5,6.0,1
113,2.0,2,3,2.0,2.0,1,1.0,3,1.0,4,6.0,1
114,3.0,2,3,1.0,2.0,4,1.0,5,3.0,4,3.0,0
115,4.0,2,2,1.0,1.0,0,1.0,5,3.0,5,6.0,1
116,3.0,2,4,2.0,2.0,4,1.0,3,2.0,5,1.0,0
118,3.0,2,2,2.0,2.0,5,3.0,4,1.0,5,3.0,0
119,2.0,2,2,1.0,2.0,8,1.0,3,3.0,5,2.0,0
120,3.0,2,2,1.0,2.0,1,3.0,4,1.0,5,4.0,1
122,3.0,2,3,2.0,2.0,4,1.0,4,1.0,4,2.0,0
123,3.0,1,5,2.0,1.0,1,1.0,3,3.0,5,4.0,1
